approve,flag,title_ar,title_translit,author_en,author_ar,category_slug,size_mb,year,source_url
x,ok,حكاية المناظرة في القرآن مع بعض أهل البدعة,hkayh almnazrh fy alqran ma bad ahl albdah,Ibn Qudamah al-Maqdisi,ابن قدامة المقدسي,quran-studies,1.7,,https://waqfeya.net/books/حكاية-المناظرة-في-القرآن-مع-بعض-أهل-البدعة-57e4dd05215149f9b12efded5ce8a896
,review,التبيان في آداب حملة القرآن - ت: الكوشك,altbyan fy adab hmlh alqran t alkwshk,al-Nawawi,النووي,quran-studies,5.3,,https://waqfeya.net/books/التبيان-في-آداب-حملة-القرآن-ت-الكوشك-938111d7a4c243cc81981b7bad411494
,review,التبيان في آداب حملة القرآن - ط. المنهاج,altbyan fy adab hmlh alqran t almnhaj,al-Nawawi,النووي,quran-studies,4.9,,https://waqfeya.net/books/التبيان-في-آداب-حملة-القرآن-ط-المنهاج-14f281444f2c463cb9b2d3f62e4ac657
x,ok,الأمثال في القرآن,alamthal fy alqran,Ibn al-Qayyim,ابن قيم الجوزية,quran-studies,3.5,,https://waqfeya.net/books/الأمثال-في-القرآن-596a173765d84f37bc8385767d49d849
,review,الإتقان في علوم القرآن - ط. الأوقاف السعودية,alatqan fy alwm alqran t alawqaf alsawdyh,al-Suyuti,السيوطي,quran-studies,8,,https://waqfeya.net/books/الإتقان-في-علوم-القرآن-ط-الأوقاف-السعودية-78c758991032454c8799bf63c73915a8
x,ok,كيف يجب علينا أن نفسر القرآن الكريم - ط. المعارف,kyf yjb alyna an nfsr alqran alkrym t almaarf,Muhammad Nasir al-Din al-Albani,محمد ناصر الدين الألباني,quran-studies,0.9,,https://waqfeya.net/books/كيف-يجب-علينا-أن-نفسر-القرآن-الكريم-ae819e0bfb6b43829b406d3b6f78c466
,possible-dupe,المواهب الربانية من الآيات القرآنية,almwahb alrbanyh mn alayat alqranyh,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,4.8,,https://waqfeya.net/books/المواهب-الربانية-من-الآيات-القرآنية-355b0f6fea984477916abbac31606796
,review,التبيان في آداب حملة القرآن - ت: عيون,altbyan fy adab hmlh alqran t aywn,al-Nawawi,النووي,quran-studies,5,,https://waqfeya.net/books/التبيان-في-آداب-حملة-القرآن-ت-عيون-5c10f6d0effd414ba977071bba8108fa
x,ok,مختصر التبيين لهجاء التنزيل - ط. الأوقاف السعودية,mkhtsr altbyyn lhja altnzyl t alawqaf alsawdyh,Abu Dawud al-Sijistani,أبو داود السجستاني,quran-studies,22.6,,https://waqfeya.net/books/مختصر-التبيين-لهجاء-التنزيل-ط-الأوقاف-السعودية-47d5c026036a4bb5a6c3335d931ed459
,review,مراصد المطالع في تناسب المقاطع والمطالع,mrasd almtala fy tnasb almqata walmtala,al-Suyuti,السيوطي,quran-studies,1.6,,https://waqfeya.net/books/مراصد-المطالع-في-تناسب-المقاطع-والمطالع-3fe7c3f2e26d4090a6b683c634123dd7
,review,نواسخ القرآن - ت: المليباري - ط. 3,nwaskh alqran t almlybary t 3,Ibn al-Jawzi,ابن الجوزي,quran-studies,9.7,,https://waqfeya.net/books/نواسخ-القرآن-ت-المليباري-ط-3-1767b46542de449489daf0a05cdb0771
x,ok,الناسخ والمنسوخ في القرآن الكريم - الزهري,alnaskh walmnswkh fy alqran alkrym alzhry,Imam Muslim,مسلم بن الحجاج,quran-studies,1.9,,https://waqfeya.net/books/الناسخ-والمنسوخ-في-القرآن-الكريم-eb5d29550d4446b2829ff84a9b67ddd0
,review,نزهة الأعين النواظر في علم الوجوه والنظائر - ط. الرسالة,nzhh alaayn alnwazr fy alm alwjwh walnzayr t alrsalh,Ibn al-Jawzi,ابن الجوزي,quran-studies,7.7,,https://waqfeya.net/books/نزهة-الأعين-النواظر-في-علم-الوجوه-والنظائر-ط-الرسالة-7fbd9f37f7834d5299bb5f09a45f9631
,review,الإتقان في علوم القرآن - ط. الرسالة,alatqan fy alwm alqran t alrsalh,al-Suyuti,السيوطي,quran-studies,19.5,,https://waqfeya.net/books/الإتقان-في-علوم-القرآن-ط-الرسالة-5417116a2ff64c7d8a94bc564ed65d6d
